code,rose(3y),rank(3y),rank_r(3y),name,rose(2y),rank(2y),rank_r(2y),rose(1y),rank(1y),rank_r(1y),rose(6m),rank(6m),rank_r(6m),rose(3m),rank(3m),rank_r(3m),类型
005186,72.2,494.0,0.0988,长安鑫兴混合AC,72.2,494.0,0.0988,72.2,494,0.0988,72.2,494,0.0988,72.2,494,0.0988,混合型
005187,71.94,505.0,0.101,长安鑫兴混合CC,71.94,505.0,0.101,71.94,505,0.101,71.94,505,0.101,71.94,505,0.101,混合型
005207,65.88,722.0,0.1444,南方高端装备混合CC,65.88,722.0,0.1444,65.88,722,0.1444,65.88,722,0.1444,65.88,722,0.1444,混合型
005225,66.38,698.0,0.1396,广发量化多因子混合AC,66.38,698.0,0.1396,66.38,698,0.1396,66.38,698,0.1396,66.38,698,0.1396,混合型
005251,58.17,1159.0,0.2318,银华多元动力灵活配置混合C,58.17,1159.0,0.2318,58.17,1159,0.2318,58.17,1159,0.2318,58.17,1159,0.2318,混合型
005311,64.23,800.0,0.16,万家经济新动能混合AC,64.23,800.0,0.16,64.23,800,0.16,64.23,800,0.16,64.23,800,0.16,混合型
005312,63.41,835.0,0.167,万家经济新动能混合CC,63.41,835.0,0.167,63.41,835,0.167,63.41,835,0.167,63.41,835,0.167,混合型
005354,58.45,1139.0,0.2278,富国沪港深行业精选混合AC,58.45,1139.0,0.2278,58.45,1139,0.2278,58.45,1139,0.2278,58.45,1139,0.2278,混合型
005437,59.66,1060.0,0.212,易方达易百智能量化策略AC,59.66,1060.0,0.212,59.66,1060,0.212,59.66,1060,0.212,59.66,1060,0.212,未知
005438,59.19,1093.0,0.2186,易方达易百智能量化策略CC,59.19,1093.0,0.2186,59.19,1093,0.2186,59.19,1093,0.2186,59.19,1093,0.2186,未知
005482,67.29,661.0,0.1322,博时创新驱动混合AC,67.29,661.0,0.1322,67.29,661,0.1322,67.29,661,0.1322,67.29,661,0.1322,混合型
005483,65.97,716.0,0.1432,博时创新驱动混合CC,65.97,716.0,0.1432,65.97,716,0.1432,65.97,716,0.1432,65.97,716,0.1432,混合型
005534,57.3,1238.0,0.2476,华夏新时代混合人民币(QDII)C,57.3,1238.0,0.2476,57.3,1238,0.2476,57.3,1238,0.2476,57.3,1238,0.2476,混合型
